"alpha-finance-lab","alpha-finance-lab","Stella","ALPHA"
"stasis-euro","stasis-euro","STASIS EURO","EURS"
"standard-tokenization-protocol","standard-tokenization-protocol","STP","STPT"
"metal","metal","Metal DAO","MTL"
"dogelon","dogelon","Dogelon Mars","ELON"
"cudos","cudos","CUDOS","CUDOS"
"huobi-token","huobi-token","Huobi Token","HT"
"radicle","radicle","Radworks","RAD"
"orbs","orbs","Orbs","ORBS"
"bifrost","bifrost","Bifrost","BFC"
"truefi-token","truefi-token","TrueFi","TRU"
"myneighboralice","myneighboralice","MyNeighborAlice","ALICE"
"radio-caca","radio-caca","RACA","RACA"
"trias-token","trias-token","Trias Token (New)","TRIAS"
"mobox","mobox","MOBOX","MBOX"
"origin-protocol","origin-protocol","Origin Protocol","OGN"
"ardor","ardor","Ardor","ARDR"
"star-atlas-polis","star-atlas-polis","Star Atlas DAO","POLIS"
"frontier","frontier","Frontier","FRONT"
"superrare","superrare","SuperRare","RARE"
"ampleforth-governance-token","ampleforth-governance-token","Ampleforth Governance Token","FORTH"
"badger-dao","badger-dao","Badger DAO","BADGER"
"verasity","verasity","Verasity","VRA"
"wazirx","wazirx","WazirX","WRX"
"adventure-gold","adventure-gold","Adventure Gold","AGLD"
"bancor","bancor","Bancor","BNT"
"nkn","nkn","NKN","NKN"
"arpa-chain","arpa-chain","ARPA","ARPA"
"platon","platon","PlatON","LAT"
"stormx","stormx","StormX","STMX"
"polkastarter","polkastarter","Polkastarter","POLS"
"alien-worlds","alien-worlds","Alien Worlds","TLM"
"moviebloc","moviebloc","MovieBloc","MBL"
"quarkchain","quarkchain","QuarkChain","QKC"
"perpetual-protocol","perpetual-protocol","Perpetual Protocol","PERP"
"ultra","ultra","Ultra","UOS"
"verge","verge","Verge","XVG"
"uquid-coin","uquid-coin","Uquid Coin","UQC"
"cortex","cortex","Cortex","CTXC"
"tomochain","tomochain","Viction","VIC"
"clover","clover","CLV","CLV"
"ren","ren","Ren","REN"
"tokenlon-network-token","tokenlon-network-token","Tokenlon Network Token","LON"
"automata-network","automata-network","Automata Network","ATA"
"swipe","swipe","SXP","SXP"
"certik","certik","Shentu","CTK"
"streamr","streamr","Streamr","DATA"
"wirex-token","wirex-token","Wirex Token","WXT"
"orion-protocol","orion-protocol","Orion","ORN"
"dego-finance","dego-finance","Dego Finance","DEGO"
"linear","linear","Linear Finance","LINA"
"defi-pulse-index","defi-pulse-index","DeFi Pulse Index","DPI"
"energy-web-token","energy-web-token","Energy Web Token","EWT"
"singularitydao","singularitydao","SingularityDAO","SDAO"
"playdapp","playdapp","PlayDapp","PDA"
"lto-network","lto-network","LTO Network","LTO"
"district0x","district0x","district0x","DNT"
"dia","dia","DIA","DIA"
"persistence","persistence","Persistence One","XPRT"
"enzyme","enzyme","Enzyme","MLN"
"elastos","elastos","Elastos","ELA"
"alchemix","alchemix","Alchemix","ALCX"
"dextools","dextools","DEXTools","DEXT"
"funtoken","funtoken","FUNToken","FUN"
"function-x","function-x","Function X","FX"
"reef","reef","Reef","REEF"
"measurable-data-token","measurable-data-token","Measurable Data Token","MDT"
"aleph-im","aleph-im","Aleph.im","ALEPH"
"idex","idex","IDEX","IDEX"
"rally","rally","Rally","RLY"
"irisnet","irisnet","IRISnet","IRIS"
"utrust","utrust","xMoney","UTK"
"morpheus-network","morpheus-network","Morpheus.Network","MNW"
"kin","kin","Kin","KIN"
"bonfida","bonfida","Bonfida","FIDA"
"router-protocol","router-protocol","Router Protocol","ROUTE"
"aavegotchi","aavegotchi","Aavegotchi","GHST"
"wanchain","wanchain","Wanchain","WAN"
"selfkey","selfkey","SelfKey","KEY"
"nuls","nuls","NULS","NULS"
"litentry","litentry","Litentry","LIT"
"abbc-coin","abbc-coin","ABBC Coin","ABBC"
"stratos","stratos","Stratos","STOS"
"ampleforth","ampleforth","Ampleforth","AMPL"
"bella-protocol","bella-protocol","Bella Protocol","BEL"
"rarible","rarible","Rarible","RARI"
"hackenai","hackenai","Hacken Token","HAI"
"assemble-protocol","assemble-protocol","Assemble Protocol","ASM"
"thunder-token","thunder-token","ThunderCore","TT"
"cream-finance","cream-finance","Cream Finance","CREAM"
"komodo","komodo","Komodo","KMD"
"taraxa","taraxa","Taraxa","TARA"
"mxc","mxc","MXC","MXC"
"contentos","contentos","Contentos","COS"
"travala","travala","AVA","AVA"
"tranchess","tranchess","Tranchess","CHESS"
"bitmax-token","bitmax-token","ASD","ASD"
"velo","velo","Velo","VELO"
"stafi","stafi","StaFi","FIS"
"mdex","mdex","Mdex","MDX"
"cellframe","cellframe","Cellframe","CELL"
"unifi-protocol-dao","unifi-protocol-dao","Unifi Protocol DAO","UNFI"
"ternoa","ternoa","Ternoa","CAPS"
"paris-saint-germain-fan-token","paris-saint-germain-fan-token","Paris Saint-Germain Fan Token","PSG"
"solanium","solanium","Solanium","SLIM"
"klever","klever","Klever","KLV"
"keep3rv1","keep3rv1","Keep3rV1","KP3R"
"hathor","hathor","Hathor","HTR"
"dock","dock","Dock","DOCK"
"adx-net","adx-net","AdEx","ADX"
"proton","proton","XPR Network","XPR"
"parsiq","parsiq","PARSIQ","PRQ"
"fox-token","fox-token","FOX Token","FOX"
"harvest-finance","harvest-finance","Harvest Finance","FARM"
"hard-protocol","hard-protocol","Kava Lend","HARD"
"vite","vite","VITE","VITE"
"pivx","pivx","PIVX","PIVX"
"sentinel","sentinel","Sentinel","DVPN"
"fio-protocol","fio-protocol","FIO Protocol","FIO"
"barnbridge","barnbridge","BarnBridge","BOND"
"metahero","metahero","Metahero","HERO"
"akropolis","akropolis","Akropolis","AKRO"
"airswap","airswap","AirSwap","AST"
"firo","firo","Firo","FIRO"
"unilend","unilend","UniLend","UFT"
"phantasma","phantasma","Phantasma","SOUL"
"dvision-network","dvision-network","Dvision Network","DVI"
"troy","troy","TROY","TROY"
"kardiachain","kardiachain","KardiaChain","KAI"
"gifto","gifto","Gifto","GFT"
"the-force-protocol","the-force-protocol","ForTube","FOR"
"karura","karura","Karura","KAR"
"rmrk","rmrk","RMRK","RMRK"
"dforce","dforce","dForce","DF"
"newscrypto","newscrypto","Newscrypto","NWC"
"voyager-token","voyager-token","Voyager Token","VGX"
"kleros","kleros","Kleros","PNK"
"yearn-finance-ii","yearn-finance-ii","DFI.Money","YFII"
"ferrum-network","ferrum-network","Ferrum Network","FRM"
"trustswap","trustswap","TrustSwap","SWAP"
"deeper-network","deeper-network","Deeper Network","DPR"
"yield-app","yield-app","Yield App","YLD"
"fuse-network","fuse-network","Fuse","FUSE"
"viberate","viberate","Viberate","VIB"
"kryll","kryll","Kryll","KRL"
"suku","suku","Suku","SUKU"
"bytom","bytom","Bytom","BTM"
"oax","oax","OAX","OAX"
"powerpool","powerpool","PowerPool","CVP"
"hapi-one","hapi-one","HAPI Protocol","HAPI"
"mixmarvel","mixmarvel","MixMarvel","MIX"
"revv","revv","REVV","REVV"
"lambda","lambda","Lambda","LAMB"
"nimiq","nimiq","Nimiq","NIM"
"solve","solve","SOLVE","SOLVE"
"burger-swap","burger-swap","BurgerCities","BURGER"
"serum","serum","Serum","SRM"
"epns","epns","Push Protocol","PUSH"
"energi","energi","Energi","NRG"
"hydra","hydra","Hydra","HYDRA"
"sharetoken","sharetoken","ShareToken","SHR"
"robonomics-network","robonomics-network","Robonomics.network","XRT"
"amber","amber","Ambrosus","AMB"
"everest","everest","Everest","ID"
"bitshares","bitshares","BitShares","BTS"
"augur","augur","Augur","REP"
"bitkan","bitkan","BitKan","KAN"
"openocean","openocean","OpenOcean","OOE"
"realio-network","realio-network","Realio Network","RIO"
"apenft","apenft","APENFT","NFT"
"pluton","pluton","Pluton","PLU"
"tower-token","tower-token","TOWER","TOWER"
"muse","muse","Muse","MUSE"
"presearch","presearch","Presearch","PRE"
"umbrella-network","umbrella-network","Umbrella Network","UMB"
"sylo","sylo","Sylo","SYLO"
"multivac","multivac","MultiVAC","MTV"
"zkswap","zkswap","ZKBase","ZKB"
"divi","divi","Divi","DIVI"
"whale","whale","WHALE","WHALE"
"redfox-labs","redfox-labs","RFOX","RFOX"
"mahadao","mahadao","MahaDAO","MAHA"
"bosagora","bosagora","BOSagora","BOA"
"polkadex","polkadex","Polkadex","PDEX"
"dsla-protocol","dsla-protocol","DSLA Protocol","DSLA"
"drep-new","drep-new","Drep [new]","DREP"
"exeedme","exeedme","Exeedme","XED"
"dad","dad","DAD","DAD"
"mirror-protocol","mirror-protocol","Mirror Protocol","MIR"
"dfyn-network","dfyn-network","Dfyn Network","DFYN"
"rai","rai","Rai Reflex Index","RAI"
"ignis","ignis","Ignis","IGNIS"
"v-systems","v-systems","v.systems","VSYS"
"crpt","crpt","Crypterium","CRPT"
"electric-vehicle-zone","electric-vehicle-zone","Electric Vehicle Zone","EVZ"
"smartkey","smartkey","Skey Network","SKEY"
"roobee","roobee","ROOBEE","ROOBEE"
"polkabridge","polkabridge","PolkaBridge","PBR"
"chain-guardians","chain-guardians","ChainGuardians","CGG"
"monsta-infinite","monsta-infinite","Monsta Infinite","MONI"
"lympo","lympo","Lympo","LYM"
"polkamarkets","polkamarkets","Polkamarkets","POLK"
"dafi-protocol","dafi-protocol","DAFI Protocol","DAFI"
"small-love-potion","small-love-potion","Small Love Potion","SLP"
"antimatter","antimatter","Bitune","TUNE"
"free-coin","free-coin","FREEdom Coin","FREE"
"crowns","crowns","Seascape Crowns","CWS"
"julswap","julswap","JulSwap","JULD"
"arcticcoin","arcticcoin","Advanced Technology Coin","ARC"
"crust","crust","Crust","CRU"
"zeroswap","zeroswap","ZeroSwap","ZEE"
"konomi-network","konomi-network","Konomi Network","KONO"
"suterusu","suterusu","suterusu","SUTER"
"insurace","insurace","InsurAce","INSUR"
"bird-money","bird-money","Bird.Money","BIRD"
"labs-group","labs-group","LABS Group","LABS"
"polkamon","polkamon","Polychain Monsters","PMON"
"oddz","oddz","Oddz","ODDZ"
"unmarshal-token","unmarshal-token","UnMarshal","MARSH"
"flux","flux","Datamine FLUX","FLUX"
"oneledger","oneledger","OneLedger","OLT"
"waykichain","waykichain","WaykiChain","WICC"
"vai","vai","Vai","VAI"
"alpaca-finance","alpaca-finance","Alpaca Finance","ALPACA"
"kira-network","kira-network","KIRA","KEX"
"maps","maps","MAPS","MAPS"
"folmcoin","folmcoin","FolmCoin","FLM"
"waves-enterprise","waves-enterprise","Waves Enterprise","WEST"
"pax-gold","pax-gold","PAX Gold","PAXG"
"hyve","hyve","Hyve","HYVE"
"tidal-finance","tidal-finance","Tidal Finance","TIDAL"
"titanswap","titanswap","TitanSwap","TITAN"
"hedget","hedget","Hedget","HGET"
"curate","curate","Curate","XCUR"
"refinable","refinable","Refinable","FINE"
"alchemy-pay","alchemy-pay","Alchemy Pay","ACH"
"orbit-chain","orbit-chain","Orbit Chain","ORC"
"quickswap","quickswap","QuickSwap [Old]","QUICK"
"liquity","liquity","Liquity","LQTY"
"bakerytoken","bakerytoken","BakeryToken","BAKE"
"stox","stox","Stox","STX"
"venus","venus","Venus","XVS"
"xcad-network","xcad-network","XCAD Network","XCAD"
"tokocrypto","tokocrypto","Toko Token","TKO"
"flex","flex","FLEX","FLEX"
"index-cooperative","index-cooperative","Index Cooperative","INDEX"
"bittorrent","bittorrent","BitTorrent","BTTOLD"
"binaryx","binaryx","BinaryX (old)","BNX"
"safepal","safepal","SafePal","SFP"
"vidt-datalink","vidt-datalink","VIDT Datalink","VIDT"
"yooshi","yooshi","YooShi","YOOSHI"
"seedify-fund","seedify-fund","Seedify.fund","SFUND"
"unizen","unizen","Unizen","ZCX"
"terrausd","terrausd","TerraClassicUSD","USTC"
"fanstime","fanstime","FansTime","FTI"
"hex","hex","HEX","HEX"
"avalaunch","avalaunch","Avalaunch","XAVA"
"tether-gold","tether-gold","Tether Gold","XAUT"
"matrix-ai-network","matrix-ai-network","Matrix AI Network","MAN"
"six","six","SIX","SIX"
"hopr","hopr","HOPR","HOPR"
"unobtanium","unobtanium","Unobtanium","UNO"
"hot-cross","hot-cross","Hot Cross","HOTCROSS"
"smartmesh","smartmesh","SmartMesh","SMT"
"suncontract","suncontract","SunContract","SNC"
"my-defi-pet","my-defi-pet","My DeFi Pet","DPET"
"rubic","rubic","Rubic","RBC"
"uniform-fiscal-object","uniform-fiscal-object","Uniform Fiscal Object","UFO"
"achain","achain","Achain","ACT"
"spell-token","spell-token","Spell Token","SPELL"
"instadapp","instadapp","Instadapp","INST"
"launchpool","launchpool","Launchpool","LPOOL"
"gamee","gamee","GAMEE","GMEE"
"steth","steth","Lido Staked ETH","STETH"
"sola-token","sola-token","Sola Token","SOL"
"bitcoin-bep2","bitcoin-bep2","Bitcoin BEP2","BTCB"
"frax","frax","Frax","FRAX"
"mx-token","mx-token","MX TOKEN","MX"
"terra-virtua-kolect","terra-virtua-kolect","Virtua","TVK"
"bolenum","bolenum","Bolenum","BLN"
"joe","joe","JOE","JOE"
"tribe","tribe","Tribe","TRIBE"
"stratis","stratis","Stratis","STRAX"
"ark","ark","Ark","ARK"
"symbol","symbol","Symbol","XYM"
"gemini-dollar","gemini-dollar","Gemini Dollar","GUSD"
"ethernity-chain","ethernity-chain","Ethernity","ERN"
"milk-alliance","milk-alliance","MiL.k","MLK"
"loom-network","loom-network","Loom Network","LOOM"
"sharder","sharder","Sharder","SS"
"medibloc","medibloc","MediBloc","MED"
"electroneum","electroneum","Electroneum","ETN"
"propy","propy","Propy","PRO"
"gamefi","gamefi","GameFi.org","GAFI"
"sora","sora","SORA","XOR"
"constellation","constellation","Constellation","DAG"
"polymath-network","polymath-network","Polymath","POLY"
"pangolin","pangolin","Pangolin","PNG"
"cobak-token","cobak-token","Cobak Token","CBK"
"maple","maple","Maple","MPL"
"cofound-it","cofound-it","Cofound.it","CFI"
"carry","carry","Carry","CRE"
"aergo","aergo","Aergo","AERGO"
"flamingo","flamingo","Flamingo","FLM"
"hunt","hunt","Hunt Town","HUNT"
"defichain","defichain","DeFiChain","DFI"
"bytecoin-bcn","bytecoin-bcn","Bytecoin","BCN"
"supercoin","supercoin","SuperCoin","SUPER"
"groestlcoin","groestlcoin","Groestlcoin","GRS"
"velas","velas","Velas","VLX"
"celsius","celsius","Celsius","CEL"
"susd","susd","sUSD","SUSD"
"moss-coin","moss-coin","Moss Coin","MOC"
"radix","radix","e-Radix","EXRD"
"circuits-of-value","circuits-of-value","Circuits of Value","COVAL"
"alpha-quark-token","alpha-quark-token","Alpha Quark Token","AQT"
"wrapped-ncg","wrapped-ncg","Nine Chronicles","WNCG"
"deepbrain-chain","deepbrain-chain","DeepBrain Chain","DBC"
"pirate-chain","pirate-chain","Pirate Chain","ARRR"
"fc-barcelona-fan-token","fc-barcelona-fan-token","FC Barcelona Fan Token","BAR"
"galatasaray-fan-token","galatasaray-fan-token","Galatasaray Fan Token","GAL"
"aventus","aventus","Aventus","AVT"
"coinex-token","coinex-token","CoinEx Token","CET"
"poolz-finance","poolz-finance","Poolz Finance","POOLX"
"monacoin","monacoin","MonaCoin","MONA"
"taboo-token","taboo-token","TABOO TOKEN","TABOO"
"bitcoin-diamond","bitcoin-diamond","Bitcoin Diamond","BCD"
"dragonchain","dragonchain","Dragonchain","DRGN"
"math","math","MATH","MATH"
"revolution-populi","revolution-populi","Revolution Populi","RVP"
"swftcoin","swftcoin","SwftCoin","SWFTC"
"mango-markets","mango-markets","Mango","MNGO"
"hermez-network","hermez-network","Hermez Network","HEZ"
"witchain","witchain","WITChain","WIT"
"shiden-network","shiden-network","Shiden Network","SDN"
"fusion","fusion","Fusion","FSN"
"saito","saito","Saito","SAITO"
"aeternity","aeternity","Æternity","AE"
"beam","beam","Beam","BEAM"
"unibright","unibright","Unibright","UBT"
"juventus-fan-token","juventus-fan-token","Juventus Fan Token","JUV"
"prosper","prosper","Prosper","PROS"
"hegic","hegic","Hegic","HEGIC"
"project-with","project-with","Project WITH","WIKEN"
"cumrocket","cumrocket","CumRocket","CUMMIES"
"bscpad","bscpad","BSCPAD","BSCPAD"
"uncx","uncx","UNCX Network","UNCX"
"nftx","nftx","NFTX","NFTX"
"lossless","lossless","Lossless","LSS"
"babb","babb","BABB","BAX"
"banano","banano","Banano","BAN"
"digitalbits","digitalbits","XDB CHAIN","XDB"
"handshake","handshake","Handshake","HNS"
"switcheo","switcheo","Carbon Protocol","SWTH"
"bepro-network","bepro-network","Bepro","BEPRO"
"nest-protocol","nest-protocol","NEST Protocol","NEST"
"hoge-finance","hoge-finance","Hoge Finance","HOGE"
"polkafoundry","polkafoundry","Red Kite","PKF"
"lithium","lithium","Lithium","LITH"
"origin-dollar","origin-dollar","Origin Dollar","OUSD"
"life","life","LIFE","LIFE"
"unisocks","unisocks","Unisocks","SOCKS"
"gameswap","gameswap","Gameswap","GSWAP"
"darwinia-network","darwinia-network","Darwinia Network","RING"
"shyft-network","shyft-network","Shyft Network","SHFT"
"x-world-games","x-world-games","X World Games","XWG"
"hypercash","hypercash","HyperCash","HC"
"namecoin","namecoin","Namecoin","NMC"
"babyswap","babyswap","BabySwap","BABY"
"wom-protocol","wom-protocol","WOM Protocol","WOM"
"single-collateral-dai","single-collateral-dai","Single Collateral DAI","SAI"
"gochain","gochain","GoChain","GO"
"idavoll-network","idavoll-network","Idavoll DAO","IDV"
"grin","grin","Grin","GRIN"
"acent","acent","ACENT","ACE"
"as-roma-fan-token","as-roma-fan-token","AS Roma Fan Token","ASR"
"props","props","Props Token","PROPS"
"dotmoovs","dotmoovs","Dotmoovs","MOOV"
"cashaa","cashaa","Cashaa","CAS"
"idle","idle","Idle","IDLE"
"visor-finance","visor-finance","Visor.Finance","VISR"
"chainx","chainx","ChainX","PCX"
"mysterium","mysterium","Mysterium","MYST"
"lattice-token","lattice-token","Lattice Token","LTX"
"dxchain-token","dxchain-token","DxChain Token","DX"
"juggernaut","juggernaut","Juggernaut","JGN"
"bondly","bondly","Forj (Bondly)","BONDLY"
"haven-protocol","haven-protocol","Haven Protocol","XHV"
"saffron-finance","saffron-finance","saffron.finance","SFI"
"vertcoin","vertcoin","Vertcoin","VTC"
"vesper","vesper","Vesper","VSP"
"nftb","nftb","NFTb","NFTB"
"razor-network","razor-network","Razor Network","RAZOR"
"pickle-finance","pickle-finance","Pickle Finance","PICKLE"
"urus","urus","Aurox","URUS"
"niftyx-protocol","niftyx-protocol","Niftyx Protocol","SHROOM"
"ariva","ariva","Ariva","ARV"
"chimpion","chimpion","Chimpion","BNANA"
"zynecoin","zynecoin","Zynecoin","ZYN"
"efforce","efforce","Efforce","WOZX"
"vidya","vidya","Vidya","VIDYA"
"oxygen","oxygen","Oxygen","OXY"
"library-credit","library-credit","LBRY Credits","LBC"
"quantstamp","quantstamp","Quantstamp","QSP"
"plasma-finance","plasma-finance","Plasma Finance","PPAY"
"abyss","abyss","Abyss","ABYSS"
"doggy","doggy","DOGGY","DOGGY"
"amepay","amepay","AME Chain","AME"
